,timestamp,tweet
0,2017-15-12 06:55:03,@BSNLCorporate Thank you for your service. The problem has been resolved by your team. Once again thanks for responding.
1,2017-13-12 02:59:09,"@BSNL_AP_Circle From past one week the broadband speed is too slow. Though I used only 8GB of the 35GB cap, I get o… https://t.co/vmuHUEqrx0"
2,2017-12-11 18:46:05,Made my first #kaggle submission and all I got was this lousy tweet. https://t.co/lMDsKcLnXe
3,2017-29-10 11:01:31,@ @Airtel_Presence Network down since morning. Please solve the issue as soon as possible.
4,2017-29-10 10:56:09,@Airtel_Presence No service from today morning and customer service says everything is right. Worst service experience.
5,2017-29-10 10:48:56,Pathetic network. I have always chosen Airtel for its best customer service. But today since morning No service and no response from Airtel.
6,2017-03-05 19:26:02,@kamaalrkhan @Me_Prabhas @RanaDaggubati @Me_Prabhas is not official account of Prabhas. Its a fanmade account. See… https://t.co/GBsFr8CDo8
7,2017-01-05 19:06:54,I'm hacking at #IndiaHacks2017 - India's biggest developer event. Join me: https://t.co/bJwxtYb4ZC  via @HackerEarth
8,2017-28-03 17:42:32,"@CaveOfProgram John in your course on Udemy about Spring framework, can u please update the course for some recent updates in the framework?"
9,2017-09-02 13:08:32,@PrakashJavdekar #THANKYOUMHRD thank you so much sir
10,2017-09-02 13:07:53,#THANKYOUMHRD thank you sir
11,2017-06-02 04:12:35,#IIITKALYANICRISIS #Day 7 of the protest still no help from ministry. @PrakashJavdekar @MamataOfficial @TOIIndiaNews @the_hindu
12,2017-02-02 10:28:40,"RT @iiit_kalyani: #iiitkalyanicrisis 
'Digital India'- the dream seems virtual as the pillars to it like IIIT Kalyani are trembling.
@Praka…"
13,2017-02-02 10:28:11,RT @VikasUp179: #IIITKalyaniCrisis Modi govt. talks about #DigitalIndia and a centrally funded IT institute struggling for survival @Prakas…
14,2017-02-02 10:28:08,RT @Rajatbrshukla: #IIITKalyaniCrisis ..A ship with no Captain...we have no direction..@PrakashJavdekar @mradul_dubey
